kepid,kepoi_name,kepler_name,koi_period,koi_time0bk,duration(days),koi_ldm_coeff2,koi_ldm_coeff1,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,FeH,FeH_err1,FeH_err2,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
6541920,K00157.03,Kepler-11 e,31.99552485,154.160745,0.17840,0.2622,0.4035,1,5657,113,-101,4.364,0.055,-0.045,0,0.15,-0.15,1.046,0.068,-0.068,0.921,0.071,-0.052,297.11511,41.909142,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.18
6541920,K00157.04,Kepler-11 f,46.6856205,225.04604,0.26581,0.2622,0.4035,5,5657,113,-101,4.364,0.055,-0.045,0,0.15,-0.15,1.046,0.068,-0.068,0.921,0.071,-0.052,297.11511,41.909142,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.18
6541920,K00157.05,Kepler-11 g,118.3786735,287.28744,0.39823,0.2622,0.4035,4,5657,113,-101,4.364,0.055,-0.045,0,0.15,-0.15,1.046,0.068,-0.068,0.921,0.071,-0.052,297.11511,41.909142,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.18
11086270,K00124.01,Kepler-110 b,12.69104387,137.12594,0.15720,0.2736,0.3819,1,5869,117,-117,4.024,0.21,-0.105,-0.16,0.15,-0.15,1.626,0.254,-0.413,1.019,0.098,-0.098,292.92914,48.60281,12.935,13.288,12.891,12.784,12.769,11.919,11.658,11.623
11086270,K00124.02,Kepler-110 c,31.71981013,142.82083,0.20079,0.2736,0.3819,2,5869,117,-117,4.024,0.21,-0.105,-0.16,0.15,-0.15,1.626,0.254,-0.413,1.019,0.098,-0.098,292.92914,48.60281,12.935,13.288,12.891,12.784,12.769,11.919,11.658,11.623
8165946,K02105.01,Kepler-1100 b,6.42199919,134.58037,0.10913,0.2868,0.3588,1,5985,72,-84,4.468,0.032,-0.128,-0.04,0.15,-0.15,0.981,0.154,-0.055,1.03,0.064,-0.064,291.87134,44.087379,13.862,14.256,13.812,13.693,13.649,12.761,12.493,12.456
9225395,K02107.01,Kepler-1101 b,81.3153052,175.9957,0.24196,0.1914,0.5167,1,5325,79,-79,4.39,0.12,-0.08,0.12,0.15,-0.15,0.975,0.115,-0.126,0.852,0.066,-0.033,294.56937,45.671261,15.111,15.656,15.042,14.878,14.762,13.793,13.422,13.314
10709622,K02108.01,Kepler-1102 b,51.3283527,177.67418,0.38988,0.2889,0.3511,1,6119,171,-214,4.353,0.108,-0.201,-0.1,0.25,-0.3,1.119,0.35,-0.175,1.027,0.167,-0.125,281.32257,48.066502,14.955,15.381,14.887,14.772,14.677,13.838,13.48,13.381
11499228,K02109.01,Kepler-1103 b,19.7919389,149.30719,0.15779,0.3032,0.3147,1,6285,169,-206,4.441,0.056,-0.21,-0.18,0.25,-0.3,1.039,0.349,-0.116,1.084,0.158,-0.144,287.38208,49.452389,14.09,14.459,14.048,13.932,13.92,13.094,12.782,12.731
11460462,K02110.01,Kepler-1104 b,5.03728033,134.1094,0.08591,0.3155,0.3031,1,6387,115,-140,4.271,0.066,-0.123,0.2,0.15,-0.2,1.381,0.253,-0.156,1.306,0.093,-0.103,294.46854,49.33102,12.189,12.464,12.106,12.071,12.07,11.215,11.012,10.971
6921944,K02114.01,Kepler-1105 b,4.421566535,132.18465,0.08845,0.0338,0.7306,1,4299,86,-86,4.604,0.033,-0.015,0.38,0.1,-0.15,0.697,0.019,-0.032,0.713,0.024,-0.024,281.11176,42.45491,15.18,16.406,15.136,14.655,14.315,13.147,12.513,12.371
8164012,K02116.01,Kepler-1106 b,1.252753881,133.17054,0.08947,0.2865,0.3671,1,5907,80,-80,4.041,0.196,-0.084,0.16,0.15,-0.15,1.705,0.261,-0.392,1.165,0.132,-0.108,291.1452,44.062538,14.69,15.085,14.645,14.52,14.468,13.6,13.293,13.234
4055304,K02119.01,Kepler-1107 b,0.571038347,131.653752,0.04695,0.186,0.5256,1,5132,84,-77,4.457,0.096,-0.036,0.16,0.15,-0.15,0.886,0.045,-0.083,0.82,0.058,-0.031,291.04993,39.14167,14.098,14.796,14.022,13.799,13.669,12.683,12.24,12.152
9415108,K02121.01,Kepler-1108 b,4.51005082,134.56954,0.08972,0.186,0.5256,1,5362,80,-72,4.352,0.144,-0.108,0.16,0.15,-0.1,1.032,0.142,-0.142,0.873,0.064,-0.032,296.04233,45.985142,14.979,15.545,14.918,14.736,14.644,13.686,13.262,13.172
4262581,K02122.01,Kepler-1109 b,37.6468519,161.46355,0.26433,0.2326,0.4637,1,5443,76,-87,3.74,0.255,-0.085,0.26,0.15,-0.15,2.652,0.402,-0.939,1.41,0.149,-0.348,291.64624,39.396629,14.288,14.793,14.236,14.072,13.951,13.055,12.718,12.707
8559644,K00139.02,Kepler-111 b,3.341799486,141.35472,0.12189,0.2555,0.4191,2,5873,93,-129,4.293,0.12,-0.12,0.18,0.15,-0.15,1.235,0.213,-0.194,1.092,0.08,-0.089,291.65317,44.688271,13.492,13.876,13.426,13.327,13.301,12.412,12.111,12.11
8559644,K00139.01,Kepler-111 c,224.7789355,142.095338,0.46625,0.2555,0.4191,1,5873,93,-129,4.293,0.12,-0.12,0.18,0.15,-0.15,1.235,0.213,-0.194,1.092,0.08,-0.089,291.65317,44.688271,13.492,13.876,13.426,13.327,13.301,12.412,12.111,12.11
